county,office,candidate,party,absentee,early,election_day,votes,district
Okmulgee,U.S. House,Markwayne Mullin,REP,204,575,6262,7041,02
Okmulgee,U.S. House,Michael Fulks,IND,17,35,431,483,02
Okmulgee,State House,Jerry Shoemake,DEM,122,607,5049,5778,16
Okmulgee,State House,James Delso,REP,99,246,2185,2530,16
Osage,President,Barack Obama,DEM,387,302,6015,6704,
Osage,President,Mitt Romney,REP,565,435,10242,11242,
Osage,U.S. House,Timothy Ray Murray,DEM,352,250,5379,5981,03
Osage,U.S. House,Frank Lucas,REP,530,436,9788,10754,03
Osage,U.S. House,William Sanders,IND,55,36,897,988,03
Osage,State Senate,Jabar Shumate,DEM,165,100,2202,2467,11
Osage,State Senate,Dave Bell,REP,35,7,334,376,11
Osage,State Senate,Curtis Mullins,IND,10,4,98,112,11
Osage,State House,Jim Massey,DEM,173,129,3392,3694,36
Osage,State House,Sean Roberts,REP,309,189,6111,6609,36
Osage,State House,Nancy Niemann,DEM,60,112,1098,1270,37
Osage,State House,Steven Vaughan,REP,88,146,1280,1514,37
Osage,State House,David Iii,DEM,18,2,129,149,66
Osage,State House,Jadine Nollan,REP,37,7,460,504,66
Ottawa,President,Barack Obama,DEM,105,288,3116,3509,
Ottawa,President,Mitt Romney,REP,238,528,5700,6466,
Ottawa,U.S. House,Rob Wallace,DEM,111,322,3485,3918,02
Ottawa,U.S. House,Markwayne Mullin,REP,200,458,4786,5444,02
Ottawa,U.S. House,Michael Fulks,IND,19,32,432,483,02
Pawnee,President,Barack Obama,DEM,84,172,1557,1813,
Pawnee,President,Mitt Romney,REP,157,325,3750,4232,
Pawnee,U.S. House,Timothy Ray Murray,DEM,70,127,1280,1477,03
Pawnee,U.S. House,Frank Lucas,REP,151,349,3705,4205,03
Pawnee,U.S. House,William Sanders,IND,16,18,296,330,03
Payne,President,Barack Obama,DEM,381,1604,7213,9198,
Payne,President,Mitt Romney,REP,672,2261,13548,16481,
Payne,U.S. House,Timothy Ray Murray,DEM,293,1232,5341,6866,03
Payne,U.S. House,Frank Lucas,REP,673,2447,13989,17109,03
Payne,U.S. House,William Sanders,IND,51,153,1267,1471,03
Pittsburg,President,Barack Obama,DEM,199,458,4174,4831,
Pittsburg,President,Mitt Romney,REP,400,991,9450,10841,
Pittsburg,U.S. House,Rob Wallace,DEM,219,599,5713,6531,02
Pittsburg,U.S. House,Markwayne Mullin,REP,344,790,7185,8319,02
Pittsburg,U.S. House,Michael Fulks,IND,29,61,643,733,02
Pittsburg,State Senate,J. Paul Lane,DEM,265,736,6602,7603,7
Pittsburg,State Senate,Larry Boggs,REP,312,706,6983,8001,7
Pontotoc,President,Barack Obama,DEM,136,542,3269,3947,
Pontotoc,President,Mitt Romney,REP,278,1251,7416,8945,
Pontotoc,U.S. House,Donna Marie Bebo,DEM,117,431,2597,3145,04
Pontotoc,U.S. House,Tom Cole,REP,275,1306,7639,9220,04
Pontotoc,U.S. House,Rj Harris,IND,16,56,443,515,04
Pontotoc,State Senate,Susan Paddack,DEM,305,1477,8767,10549,13
Pontotoc,State Senate,Fred Smith,REP,98,301,1909,2308,13
Pottawatomie,President,Barack Obama,DEM,280,823,6085,7188,
Pottawatomie,President,Mitt Romney,REP,617,1780,13853,16250,
Pottawatomie,U.S. House,Tom Guild,DEM,243,765,5642,6650,05
Pottawatomie,U.S. House,James Lankford,REP,599,1773,13410,15782,05
Pottawatomie,U.S. House,Pat Martin,IND,17,25,409,451,05
Pottawatomie,U.S. House,Robert Murphy,IND,17,33,368,418,05
Pottawatomie,State Senate,Susan Paddack,DEM,36,30,976,1042,13
Pottawatomie,State Senate,Fred Smith,REP,46,32,759,837,13
Pottawatomie,State House,Matt Branstetter,DEM,3,1,111,115,20
Pottawatomie,State House,Bobby Cleveland,REP,9,2,144,155,20
Pottawatomie,State House,Patty Sue Wagstaff,DEM,210,693,3949,4852,26
Pottawatomie,State House,Justin Freeland Wood,REP,284,1027,6146,7457,26
Pottawatomie,State House,Randy Gilbert,DEM,85,221,2763,3069,27
Pottawatomie,State House,Josh Cockroft,REP,134,370,3232,3736,27
Pottawatomie,State House,Marilyn Rainwater,DEM,27,88,999,1114,28
Pottawatomie,State House,Tom Newell,REP,113,189,2457,2759,28
Pushmataha,President,Barack Obama,DEM,36,123,884,1043,
Pushmataha,President,Mitt Romney,REP,91,337,2659,3087,
Pushmataha,U.S. House,Rob Wallace,DEM,44,171,1488,1703,02
Pushmataha,U.S. House,Markwayne Mullin,REP,69,265,1869,2203,02
Pushmataha,U.S. House,Michael Fulks,IND,9,16,150,175,02
Pushmataha,State Senate,Jerry Ellis,DEM,64,285,2384,2733,5
Pushmataha,State Senate,Howard Houchen,REP,61,165,1151,1377,5
Roger Mills,President,Barack Obama,DEM,9,33,230,272,
Roger Mills,President,Mitt Romney,REP,63,178,1161,1402,
Roger Mills,U.S. House,Timothy Ray Murray,DEM,7,21,145,173,03
Roger Mills,U.S. House,Frank Lucas,REP,64,187,1206,1457,03
Roger Mills,U.S. House,William Sanders,IND,2,3,39,44,03
Rogers,President,Barack Obama,DEM,368,1151,7629,9148,
Rogers,President,Mitt Romney,REP,1247,3330,22976,27553,
Rogers,U.S. House,John Olson,DEM,81,113,1324,1518,01
Rogers,U.S. House,Jim Bridenstine,REP,286,408,4348,5042,01
Rogers,U.S. House,Craig Allen,IND,19,12,294,325,01
Rogers,U.S. House,Rob Wallace,DEM,288,1055,6363,7706,02
Rogers,U.S. House,Markwayne Mullin,REP,866,2720,17037,20623,02
Rogers,U.S. House,Michael Fulks,IND,49,147,1158,1354,02
Rogers,State Senate,Jim Bynum,DEM,29,53,779,861,3
Rogers,State Senate,Wayne Shaw,REP,50,104,1202,1356,3
Rogers,State House,Shawna Keller,DEM,23,43,881,947,23
Rogers,State House,Terry O'Donnell,REP,110,174,2235,2519,23
Seminole,President,Barack Obama,DEM,72,258,2270,2600,
Seminole,President,Mitt Romney,REP,188,390,4278,4856,
Seminole,U.S. House,Tom Guild,DEM,66,243,2136,2445,05
Seminole,U.S. House,James Lankford,REP,175,379,4171,4725,05
Seminole,U.S. House,Pat Martin,IND,3,10,122,135,05
Seminole,U.S. House,Robert Murphy,IND,6,7,115,128,05
Seminole,State Senate,Susan Paddack,DEM,26,46,980,1052,13
Seminole,State Senate,Fred Smith,REP,20,39,456,515,13
Seminole,State House,Marilyn Rainwater,DEM,80,293,2715,3088,28
Seminole,State House,Tom Newell,REP,167,347,3824,4338,28
Sequoyah,President,Barack Obama,DEM,137,418,3638,4193,
Sequoyah,President,Mitt Romney,REP,325,1149,8104,9578,
Sequoyah,U.S. House,Rob Wallace,DEM,179,579,4542,5300,02
Sequoyah,U.S. House,Markwayne Mullin,REP,276,912,6567,7755,02
Sequoyah,U.S. House,Michael Fulks,IND,18,61,467,546,02
Sequoyah,State House,Rick Agent,DEM,178,650,4609,5437,2
Sequoyah,State House,John Bennett,REP,217,790,5309,6316,2
Stephens,President,Barack Obama,DEM,140,378,3421,3939,
Stephens,President,Mitt Romney,REP,431,1112,11365,12908,
Stephens,U.S. House,Donna Marie Bebo,DEM,109,344,2910,3363,04
Stephens,U.S. House,Tom Cole,REP,423,1103,11246,12772,04
Stephens,U.S. House,Rj Harris,IND,29,42,590,661,04
Stephens,State Senate,Tony Terrill,DEM,21,96,850,967,31
Stephens,State Senate,Don Barrington,REP,114,296,2694,3104,31
Stephens,State Senate,Mike Fullerton,DEM,121,348,3477,3946,43
Stephens,State Senate,Corey Brooks,REP,292,739,7611,8642,43
Stephens,State House,Stewart Meyer,DEM,39,106,1477,1622,51
Stephens,State House,Scott Biggs,REP,88,183,2813,3084,51
Texas,President,Barack Obama,DEM,52,100,710,862,
Texas,President,Mitt Romney,REP,259,683,3988,4930,
Texas,U.S. House,Timothy Ray Murray,DEM,34,79,547,660,03
Texas,U.S. House,Frank Lucas,REP,259,654,3898,4811,03
Texas,U.S. House,William Sanders,IND,15,43,231,289,03
Texas,State Senate,A. Bryce Marlatt,REP,239,627,3783,4649,27
Texas,State Senate,Tommy Nicholson,IND,51,123,785,959,27
Tillman,President,Barack Obama,DEM,23,109,774,906,
Tillman,President,Mitt Romney,REP,41,291,1483,1815,
Tillman,U.S. House,Donna Marie Bebo,DEM,20,94,606,720,04
Tillman,U.S. House,Tom Cole,REP,39,291,1553,1883,04
Tillman,U.S. House,Rj Harris,IND,4,11,78,93,04
Tillman,State Senate,Tony Terrill,DEM,24,107,710,841,31
Tillman,State Senate,Don Barrington,REP,36,284,1507,1827,31
Tulsa,President,Barack Obama,DEM,3786,5055,73903,82744,
Tulsa,President,Mitt Romney,REP,7562,4016,133484,145062,
Tulsa,U.S. House,John Olson,DEM,3556,4843,68026,76425,01
Tulsa,U.S. House,Jim Bridenstine,REP,7185,3923,128443,139551,01
Tulsa,U.S. House,Craig Allen,IND,398,271,9475,10144,01
Tulsa,State Senate,Jabar Shumate,DEM,575,1781,10390,12746,11
Tulsa,State Senate,Dave Bell,REP,148,161,2727,3036,11
Tulsa,State Senate,Curtis Mullins,IND,29,74,1189,1292,11
Tulsa,State Senate,Julie Hall,DEM,787,628,12983,14398,39
Tulsa,State Senate,Brian Crain,REP,1166,599,17253,19018,39
Tulsa,State House,Jerry Shoemake,DEM,1,0,46,47,16
Tulsa,State House,James Delso,REP,4,0,110,114,16
Tulsa,State House,Shawna Keller,DEM,88,147,2934,3169,23
Tulsa,State House,Terry O'Donnell,REP,101,57,3063,3221,23
Tulsa,State House,David Narcomey,DEM,10,13,412,435,29
Tulsa,State House,Skye Mcniel,REP,33,31,1100,1164,29
Tulsa,State House,Jim Massey,DEM,44,31,1040,1115,36
Tulsa,State House,Sean Roberts,REP,126,51,2308,2485,36
Tulsa,State House,David Iii,DEM,168,220,3852,4240,66
Tulsa,State House,Jadine Nollan,REP,294,252,7795,8341,66
Tulsa,State House,Dan Arthrell,DEM,367,409,5695,6471,71
Tulsa,State House,Katie Henke,REP,492,302,6570,7364,71
Tulsa,State House,Seneca Scott,DEM,181,455,5360,5996,72
Tulsa,State House,Randall Reese,REP,78,80,2089,2247,72
Tulsa,State House,Glenda Puett,DEM,177,218,4705,5100,76
Tulsa,State House,David Brumbaugh,REP,551,235,9893,10679,76
Tulsa,State House,Jeannie Mcdaniel,DEM,422,394,8006,8822,78
Tulsa,State House,Paul Catalano,REP,226,167,5141,5534,78
Wagoner,President,Barack Obama,DEM,296,572,6923,7791,
Wagoner,President,Mitt Romney,REP,889,1306,18705,20900,
Wagoner,U.S. House,John Olson,DEM,287,578,6651,7516,01
Wagoner,U.S. House,Jim Bridenstine,REP,831,1215,17676,19722,01
Wagoner,U.S. House,Craig Allen,IND,50,71,1180,1301,01
Wagoner,State House,Wade Rousselot,DEM,203,799,6342,7344,12
Wagoner,State House,David Tackett,REP,268,567,5437,6272,12
Wagoner,State House,Jerry Shoemake,DEM,36,38,804,878,16
Wagoner,State House,James Delso,REP,76,74,1526,1676,16
Wagoner,State House,Shawna Keller,DEM,12,7,277,296,23
Wagoner,State House,Terry O'Donnell,REP,16,8,438,462,23
Washington,President,Barack Obama,DEM,198,711,4623,5532,
Washington,President,Mitt Romney,REP,666,1849,13153,15668,
Washington,U.S. House,John Olson,DEM,186,695,4495,5376,01
Washington,U.S. House,Jim Bridenstine,REP,630,1767,12448,14845,01
Washington,U.S. House,Craig Allen,IND,40,89,780,909,01
Washita,President,Barack Obama,DEM,43,86,693,822,
Washita,President,Mitt Romney,REP,157,299,3038,3494,
Washita,U.S. House,Timothy Ray Murray,DEM,25,51,470,546,03
Washita,U.S. House,Frank Lucas,REP,173,326,3132,3631,03
Washita,U.S. House,William Sanders,IND,2,7,124,133,03
Woods,President,Barack Obama,DEM,37,125,509,671,
Woods,President,Mitt Romney,REP,116,393,2218,2727,
Woods,U.S. House,Timothy Ray Murray,DEM,25,99,314,438,03
Woods,U.S. House,Frank Lucas,REP,117,402,2289,2808,03
Woods,U.S. House,William Sanders,IND,13,15,124,152,03
Woods,State Senate,A. Bryce Marlatt,REP,111,395,2193,2699,27
Woods,State Senate,Tommy Nicholson,IND,32,97,475,604,27
Woodward,President,Barack Obama,DEM,33,167,933,1133,
Woodward,President,Mitt Romney,REP,224,977,4744,5945,
Woodward,U.S. House,Timothy Ray Murray,DEM,16,97,530,643,03
Woodward,U.S. House,Frank Lucas,REP,229,999,4919,6147,03
Woodward,U.S. House,William Sanders,IND,9,46,220,275,03
Woodward,State Senate,A. Bryce Marlatt,REP,223,972,4745,5940,27
Woodward,State Senate,Tommy Nicholson,IND,22,153,831,1006,27
